Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-14 18:50:00,"Woody убил Major Odbyt (CMMG Mk47 Mutant, 3.58m)",CMMG Mk47 Mutant,3.58,Woody,Major Odbyt
2023-11-14 18:57:00,"Pain Peko убил Columbus (МР-133, 5.23m)",МР-133,5.23,Pain Peko,Columbus
2023-11-14 18:58:00,"Volk убил Miko* (ИЖ70-17A, 9.1m)",ИЖ70-17A,9.1,Volk,Miko*
2023-11-14 19:11:00,"Punto убил Dosven (ADAR 2-15, 32.53m)",ADAR 2-15,32.53,Punto,Dosven
2023-11-14 19:13:00,"Lerppis убил arbuzik (МР-133, 7.16m)",МР-133,7.16,Lerppis,arbuzik
2023-11-14 19:13:00,"keks убил CHIPIKUN (Каменный нож, 0.4m)",Каменный нож,0.4,keks,CHIPIKUN
2023-11-14 19:14:00,"mrak убил VERESK (FN Five-seveN, 11.67m)",FN Five-seveN,11.67,mrak,VERESK
2023-11-14 19:16:00,"Lerppis убил arbuzik (ИЖ-18МН, 5.2m)",ИЖ-18МН,5.2,Lerppis,arbuzik
2023-11-14 19:16:00,"panathas13 убил Dzhode (FN SCAR-H, 126.09m)",FN SCAR-H,126.09,panathas13,Dzhode
2023-11-14 19:17:00,"[ReDArmy]ManterZ убил Jhon Locke (AK-74М, 71.15m)",AK-74М,71.15,[ReDArmy]ManterZ,Jhon Locke
2023-11-14 19:21:00,"Woody убил KARLSON (M14 DMR, 143.27m)",M14 DMR,143.27,Woody,KARLSON
2023-11-14 19:25:00,"[ReDArmy]ManterZ убил OBLADAET (Винтовка Мосина, 165.25m)",Винтовка Мосина,165.25,[ReDArmy]ManterZ,OBLADAET
2023-11-14 19:25:00,"Tvoy_Knyaz убил AbuBandit (Winchester Model 70, 52.23m)",Winchester Model 70,52.23,Tvoy_Knyaz,AbuBandit
2023-11-14 19:26:00,"Punto убил slay (ADAR 2-15, 26.76m)",ADAR 2-15,26.76,Punto,slay
2023-11-14 19:27:00,"Aksel убил Winston (FN SCAR-L CQC, 13.78m)",FN SCAR-L CQC,13.78,Aksel,Winston
2023-11-14 19:30:00,"Corsar убил fraerok (ИЖ70-17A, 2.12m)",ИЖ70-17A,2.12,Corsar,fraerok
2023-11-14 19:40:00,"Rayan Gosling убил [KeParY] fletti (Winchester Model 70, 58.2m)",Winchester Model 70,58.2,Rayan Gosling,[KeParY] fletti
2023-11-14 19:41:00,"ZNAHAR убил Corsar (АН-94M «Абакан», 2.82m)",АН-94M «Абакан»,2.82,ZNAHAR,Corsar
2023-11-14 19:41:00,"Osprey убил Griphonchik (M14, 109.79m)",M14,109.79,Osprey,Griphonchik
2023-11-14 19:41:00,"green tea убил VORON (M4A1, 6.22m)",M4A1,6.22,green tea,VORON
2023-11-14 19:43:00,"Grom убил Osprey (FN SCAR-L CQC, 27.63m)",FN SCAR-L CQC,27.63,Grom,Osprey
2023-11-14 19:46:00,"Aksel убил AlEkSeY_ShElBoV (CZ-550 Lux, 170.46m)",CZ-550 Lux,170.46,Aksel,AlEkSeY_ShElBoV
2023-11-14 19:46:00,"[MiX] K1sulka убил ZNAHAR (FN FAL, 21.03m)",FN FAL,21.03,[MiX] K1sulka,ZNAHAR
2023-11-14 19:49:00,"[B.I.T.S]?Aslanbek? убил Woody (AK-104, 14.15m)",AK-104,14.15,[B.I.T.S]?Aslanbek?,Woody
2023-11-14 19:50:00,"Punto убил Blakosta (ADAR 2-15, 22.78m)",ADAR 2-15,22.78,Punto,Blakosta
2023-11-14 19:50:00,"[ReDArmy]ManterZ убил Punto (AK-74М, 29.71m)",AK-74М,29.71,[ReDArmy]ManterZ,Punto
2023-11-14 19:50:00,"[ReDArmy]ManterZ убил [B.I.T.S]?Aslanbek? (AK-74М, 8.87m)",AK-74М,8.87,[ReDArmy]ManterZ,[B.I.T.S]?Aslanbek?
2023-11-14 19:51:00,"[ReDArmy]ManterZ убил [B.I.T.S] Phantom (AK-74М, 1.46m)",AK-74М,1.46,[ReDArmy]ManterZ,[B.I.T.S] Phantom
2023-11-14 19:52:00,"Woody убил PaNuke (Каменный нож, 0.9m)",Каменный нож,0.9,Woody,PaNuke
2023-11-14 19:57:00,"Burevestnik убил [ReDArmy]ManterZ (ОЦ-12 «Тисс», 15.78m)",ОЦ-12 «Тисс»,15.78,Burevestnik,[ReDArmy]ManterZ
2023-11-14 20:02:00,"woodoo убил Ruslan Riaselt (Винтовка Мосина, 378.17m)",Винтовка Мосина,378.17,woodoo,Ruslan Riaselt
2023-11-14 20:03:00,"Tvoy_Knyaz убил PANDA (AKM, 1.05m)",AKM,1.05,Tvoy_Knyaz,PANDA
2023-11-14 20:04:00,"woodoo убил NowaOne (Винтовка Мосина, 445.77m)",Винтовка Мосина,445.77,woodoo,NowaOne
2023-11-14 20:06:00,"Mango убил Meldonii (M24, 99.92m)",M24,99.92,Mango,Meldonii
2023-11-14 20:10:00,"Mcqueen убил [MiX] K1sulka (Springfield Armory M1A, 41.46m)",Springfield Armory M1A,41.46,Mcqueen,[MiX] K1sulka
2023-11-14 20:12:00,"MOVEON убил [MiX] K1sulka (Топорик, 1.14m)",Топорик,1.14,MOVEON,[MiX] K1sulka
2023-11-14 20:19:00,"Tvoy_Knyaz убил Woody (AKM, 2.23m)",AKM,2.23,Tvoy_Knyaz,Woody
2023-11-14 20:19:00,"[ReDArmy]ManterZ убил Tvoy_Knyaz (FN SCAR-H CQC, 7.5m)",FN SCAR-H CQC,7.5,[ReDArmy]ManterZ,Tvoy_Knyaz
2023-11-14 20:19:00,"[ReDArmy]ManterZ убил Osprey (FN SCAR-H CQC, 4.59m)",FN SCAR-H CQC,4.59,[ReDArmy]ManterZ,Osprey
2023-11-14 20:19:00,"zmeinysh убил Berserk  (Steyr AUG A3, 44.61m)",Steyr AUG A3,44.61,zmeinysh,Berserk 
2023-11-14 20:22:00,"Mcqueen убил Arabica (AK-105, 18.57m)",AK-105,18.57,Mcqueen,Arabica
2023-11-14 20:22:00,"Mcqueen убил zmeinysh (AK-105, 20.63m)",AK-105,20.63,Mcqueen,zmeinysh
2023-11-14 20:23:00,"PANDA убил Mcqueen (СВД, 160.64m)",СВД,160.64,PANDA,Mcqueen
2023-11-14 20:24:00,"[ReDArmy]ManterZ убил Dzhode (FN SCAR-H CQC, 27.12m)",FN SCAR-H CQC,27.12,[ReDArmy]ManterZ,Dzhode
2023-11-14 20:24:00,"VERESK убил keks (МР-133, 6.62m)",МР-133,6.62,VERESK,keks
2023-11-14 20:25:00,"lucky убил chris  (ИЖ-43, 2.12m)",ИЖ-43,2.12,lucky,chris 
2023-11-14 20:28:00,"PANDA убил KARLSON (FN SCAR-L, 52.38m)",FN SCAR-L,52.38,PANDA,KARLSON
2023-11-14 20:31:00,"Pekmeno убил Waragator (AK-74М, 6.76m)",AK-74М,6.76,Pekmeno,Waragator
2023-11-14 20:32:00,"noname убил EvGer (ВПО-136 ""Вепрь-КМ"", 1.83m)","ВПО-136 ""Вепрь-КМ""",1.83,noname,EvGer
2023-11-14 20:34:00,"AlkoShara убил Woody (МР-133, 26.18m)",МР-133,26.18,AlkoShara,Woody
2023-11-14 20:38:00,"PANDA убил fraerok (FN SCAR-L, 10.08m)",FN SCAR-L,10.08,PANDA,fraerok
2023-11-14 20:39:00,"hOLLOW2K убил chris  (Меч, 0.91m)",Меч,0.91,hOLLOW2K,chris 
2023-11-14 20:40:00,"panathas13 убил Griphonchik (FN SCAR-H, 360.18m)",FN SCAR-H,360.18,panathas13,Griphonchik
